"filename", "language", "JavaScript", "Markdown", "XML", "JSON", "JavaScript JSX", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\auth\socket-token\route.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\backend\[...path]\route.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 15, 84
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\getDaplink\route.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\getQrcode\route.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 8, 24
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\links\[handle]\route.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 1, 10, 59
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\posthog\analytics\route.js", "JavaScript", 507, 0, 0, 0, 0, 0, 0, 0, 37, 544
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\posts\[postId]\interact\route.js", "JavaScript", 92, 0, 0, 0, 0, 0, 0, 5, 14, 111
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\posts\recommend\route.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 6, 12, 73
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\posts\route.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 1, 17, 112
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\qrcode\route.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 2, 8, 44
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\reset-password\route.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 10, 53
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\api\theme\themes\route.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 6, 33
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 186, 17, 48, 251
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\layout.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 4, 17, 97
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\login\page.js", "JavaScript", 276, 0, 0, 0, 0, 0, 0, 1, 25, 302
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\page.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 3, 8, 45
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\reset-password\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 115, 0, 0, 0, 13, 128
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\robots.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"e:\Kunal\codingplay\Projects\PROJECT-7(DapLink)\daplink\app\sitemap.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 5, 5, 45
